player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_start,pos_proxy,pts_lag1,reb_lag1,ast_lag1,ts_pct_lag1,usg_pct_lag1,net_rating_lag1,d_pts,d_ts,next_pts,next_reb,next_ast,next_ts_pct,improved_next_pts
A.C. Green,MIA,37.0,205.74,102.0582,Oregon State,USA,1985,1,23,82,4.5,3.8,0.5,3.3,0.089,0.171,0.141,0.492,0.05,2000-01,2000,Big (proxy),5.0,5.9,1.0,0.482,0.111,8.1,-0.5,0.01,,,,,0
A.J. Guyton,CHI,24.0,185.42,81.64656,Indiana,USA,2000,2,32,45,5.4,1.0,1.8,-3.8,0.022,0.067,0.221,0.477,0.248,2001-02,2001,Guard (proxy),6.0,1.1,1.9,0.495,0.1689999999999999,-12.4,-0.5999999999999996,-0.018,,,,,0
A.J. Lawson,DAL,22.0,198.12,81.19296800000001,South Carolina,Canada,Undrafted,Undrafted,Undrafted,15,3.7,1.4,0.1,-20.1,0.046,0.152,0.1889999999999999,0.589,0.032,2022-23,2022,Wing (proxy),,,,,,,,,,,,,0
AJ Green,MIL,23.0,195.58,86.18248,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,35,4.4,1.3,0.6,-4.9,0.016,0.105,0.159,0.607,0.092,2022-23,2022,Wing (proxy),,,,,,,,,,,,,0
AJ Griffin,ATL,19.0,198.12,99.79024,Duke,USA,2022,1,16,72,8.9,2.1,1.0,1.5,0.026,0.08,0.174,0.5770000000000001,0.07,2022-23,2022,Wing (proxy),,,,,,,,,,,,,0
AJ Hammons,DAL,24.0,213.36,117.93392,Purdue,USA,2016,2,46,22,2.2,1.6,0.2,-0.6,0.049,0.1989999999999999,0.1669999999999999,0.472,0.038,2016-17,2016,Big (proxy),,,,,,,,,,,,,0
AJ Price,CLE,28.0,187.96,88.45044,Connecticut,USA,2009,2,52,26,5.1,1.2,1.8,-12.2,0.019,0.096,0.226,0.451,0.254,2014-15,2014,Guard (proxy),1.6,0.4,0.5,0.469,0.23,-2.4,3.5,-0.0179999999999999,,,,,0
Aaron Brooks,MIN,33.0,182.88,73.028312,Oregon,USA,2007,1,26,32,2.3,0.5,0.6,-17.2,0.036,0.057,0.192,0.508,0.161,2017-18,2017,Guard (proxy),5.0,1.1,1.9,0.507,0.191,-3.0,-2.7,0.001,,,,,0
Aaron Gordon,DEN,27.0,203.2,106.59412,Arizona,USA,2014,1,4,68,16.3,6.6,3.0,12.1,0.086,0.136,0.206,0.617,0.129,2022-23,2022,Wing (proxy),15.0,5.9,2.5,0.602,0.1939999999999999,6.2,1.3000000000000007,0.015,,,,,0
Aaron Gray,SAC,29.0,213.36,122.46984,Pittsburgh,USA,2007,2,49,37,1.8,3.0,0.6,-11.7,0.13,0.226,0.125,0.466,0.092,2013-14,2013,Big (proxy),2.8,3.2,0.8,0.544,0.132,-7.7,-0.9999999999999998,-0.078,,,,,0
Aaron Harrison,CHA,21.0,198.12,95.25432,Kentucky,USA,Undrafted,Undrafted,Undrafted,21,0.9,0.7,0.1,2.2,0.047,0.133,0.138,0.371,0.033,2015-16,2015,Wing (proxy),,,,,,,,,,,,,0
Aaron Holiday,ATL,26.0,182.88,83.91452,UCLA,USA,2018,1,23,63,3.9,1.2,1.4,0.9,0.0279999999999999,0.059,0.129,0.528,0.135,2022-23,2022,Guard (proxy),6.3,1.9,2.4,0.544,0.182,-1.4,-2.4,-0.016,,,,,0
Aaron McKie,LAL,34.0,195.58,94.800728,Temple,USA,1994,1,17,10,2.2,1.8,1.3,-4.0,0.009,0.155,0.089,0.647,0.165,2006-07,2006,Wing (proxy),0.5,1.4,0.8,0.272,0.06,-6.2,1.7000000000000002,0.375,,,,,0
Aaron Miles,GSW,23.0,185.42,86.18248,Kansas,USA,Undrafted,Undrafted,Undrafted,19,0.8,0.7,1.3,-3.9,0.0,0.154,0.113,0.405,0.308,2005-06,2005,Guard (proxy),,,,,,,,,,,,,0
Aaron Nesmith,IND,23.0,195.58,97.52228,Vanderbilt,USA,2020,1,14,73,10.1,3.8,1.3,-4.7,0.033,0.119,0.168,0.5660000000000001,0.073,2022-23,2022,Wing (proxy),3.8,1.7,0.4,0.507,0.1639999999999999,3.0,6.3,0.059,,,,,0
Aaron Wiggins,OKC,24.0,195.58,86.18248,Maryland,USA,2021,2,55,70,6.8,3.0,1.1,1.5,0.05,0.109,0.143,0.607,0.084,2022-23,2022,Wing (proxy),8.3,3.6,1.4,0.556,0.149,-8.1,-1.5000000000000009,0.0509999999999999,,,,,0
Aaron Williams,LAC,36.0,205.74,106.59412,Xavier,USA,Undrafted,Undrafted,Undrafted,30,2.3,2.0,0.3,-15.9,0.06,0.186,0.118,0.54,0.052,2007-08,2007,Big (proxy),2.0,2.2,0.2,0.606,0.1009999999999999,-2.4,0.2999999999999998,-0.0659999999999999,,,,,0
Abdel Nader,PHX,28.0,195.58,102.0582,Iowa State,Egypt,2016,2,58,14,2.4,1.9,0.5,-0.9,0.026,0.145,0.139,0.431,0.065,2021-22,2021,Wing (proxy),6.7,2.6,0.8,0.605,0.183,5.0,-4.300000000000001,-0.174,,,,,0
Acie Earl,MIL,27.0,210.82,108.86208,Iowa,USA,1993,1,19,47,4.0,2.0,0.4,-6.4,0.079,0.14,0.2239999999999999,0.435,0.077,1996-97,1996,Big (proxy),,,,,,,,,,,,,0
Acie Law,GSW,26.0,190.5,91.625584,Texas A&M,USA,2007,1,11,51,4.2,1.2,1.6,-8.2,0.019,0.0819999999999999,0.16,0.502,0.182,2010-11,2010,Guard (proxy),4.3,0.7,1.0,0.585,0.22,7.0,-0.0999999999999996,-0.0829999999999999,,,,,0
Adam Harrington,DEN,22.0,195.58,90.7184,Auburn,USA,Undrafted,Undrafted,Undrafted,19,1.6,0.4,0.6,-15.7,0.01,0.088,0.1669999999999999,0.387,0.179,2002-03,2002,Wing (proxy),,,,,,,,,,,,,0
Adam Keefe,GSW,31.0,205.74,104.32616,Stanford,USA,1992,1,10,67,2.5,3.1,0.5,-9.2,0.105,0.175,0.1159999999999999,0.45,0.066,2000-01,2000,Big (proxy),2.2,2.2,0.5,0.4629999999999999,0.149,-3.3,0.2999999999999998,-0.0129999999999999,,,,,0
Adam Mokoka,CHI,22.0,193.04,86.18248,,France,Undrafted,Undrafted,Undrafted,14,1.1,0.4,0.4,-7.1,0.017,0.077,0.171,0.386,0.179,2020-21,2020,Guard (proxy),2.9,0.9,0.4,0.5379999999999999,0.11,17.1,-1.7999999999999998,-0.1519999999999999,,,,,0
Adam Morrison,LAL,25.0,203.2,92.98636,Gonzaga,USA,2006,1,3,31,2.4,1.0,0.6,-9.1,0.044,0.1009999999999999,0.183,0.418,0.121,2009-10,2009,Wing (proxy),4.0,1.5,0.8,0.4479999999999999,0.177,-7.4,-1.6,-0.0299999999999999,,,,,0
Admiral Schofield,ORL,26.0,195.58,109.315672,Tennessee,United Kingdom,2019,2,42,37,4.2,1.7,0.8,-8.3,0.047,0.092,0.139,0.5870000000000001,0.103,2022-23,2022,Wing (proxy),3.8,2.3,0.7,0.5379999999999999,0.143,-13.5,0.4000000000000003,0.0490000000000001,,,,,0
Adonal Foyle,ORL,34.0,208.28,122.46984,Colgate,St. Vincent & Grenadines,1997,1,8,10,1.7,2.6,0.1,-3.7,0.138,0.258,0.12,0.623,0.0279999999999999,2008-09,2008,Big (proxy),1.9,2.5,0.2,0.4639999999999999,0.123,0.4,-0.1999999999999999,0.159,,,,,0
Adreian Payne,MIN,26.0,208.28,107.501304,Michigan State,USA,2014,1,15,18,3.5,1.8,0.4,0.8,0.069,0.2,0.2239999999999999,0.505,0.089,2016-17,2016,Big (proxy),2.5,2.1,0.6,0.422,0.18,-10.8,1.0,0.083,,,,,0
Adrian Caldwell,PHI,30.0,203.2,120.20188,Lamar,USA,Undrafted,Undrafted,Undrafted,45,2.2,3.7,0.3,-6.2,0.108,0.208,0.105,0.4429999999999999,0.03,1996-97,1996,Wing (proxy),,,,,,,,,,,,,0
Adrian Griffin,SEA,33.0,195.58,104.32616,Seton Hall,USA,Undrafted,Undrafted,Undrafted,35,1.9,1.7,0.8,0.4,0.099,0.12,0.146,0.406,0.134,2007-08,2007,Wing (proxy),2.5,2.0,1.1,0.499,0.135,7.4,-0.6000000000000001,-0.0929999999999999,,,,,0
Al Harrington,WAS,34.0,205.74,111.13004,,USA,1998,1,25,34,6.6,2.4,0.8,4.1,0.036,0.157,0.228,0.506,0.089,2013-14,2013,Big (proxy),5.1,2.7,1.0,0.434,0.249,-16.0,1.5,0.072,,,,,0
Al Horford,BOS,37.0,205.74,108.86208,Florida,Dominican Republic,2007,1,3,63,9.8,6.2,3.0,7.8,0.039,0.159,0.119,0.631,0.128,2022-23,2022,Big (proxy),10.2,7.7,3.4,0.574,0.147,9.3,-0.3999999999999986,0.057,,,,,0
Al Jefferson,IND,33.0,208.28,127.00576,,USA,2004,1,15,36,7.0,4.0,0.8,-1.8,0.061,0.2269999999999999,0.218,0.563,0.098,2017-18,2017,Big (proxy),8.1,4.2,0.9,0.526,0.26,-5.8,-1.0999999999999996,0.0369999999999999,,,,,0
Al Thornton,GSW,27.0,203.2,106.59412,Florida State,USA,2007,1,14,71,7.4,3.0,0.9,-4.8,0.048,0.139,0.182,0.531,0.072,2010-11,2010,Wing (proxy),10.7,3.9,1.2,0.523,0.192,-7.5,-3.299999999999999,0.008,,,,,0
Al-Farouq Aminu,CHI,30.0,203.2,99.79024,Wake Forest,USA,2010,1,8,23,4.4,4.8,1.3,-6.2,0.05,0.2,0.138,0.469,0.1009999999999999,2020-21,2020,Wing (proxy),4.3,4.8,1.2,0.395,0.127,-5.4,0.1000000000000005,0.0739999999999999,,,,,0
Alan Anderson,LAC,34.0,198.12,99.79024,Michigan State,USA,Undrafted,Undrafted,Undrafted,30,2.9,0.8,0.4,-10.8,0.011,0.077,0.142,0.494,0.052,2016-17,2016,Wing (proxy),5.0,2.1,1.1,0.495,0.157,5.4,-2.1,-0.001,,,,,0
Alan Henderson,PHI,34.0,205.74,108.86208,Indiana,USA,1995,1,16,38,3.1,2.8,0.3,-1.3,0.133,0.172,0.109,0.679,0.036,2006-07,2006,Big (proxy),2.5,2.7,0.2,0.564,0.118,-3.4,0.6000000000000001,0.1150000000000001,,,,,0
Alan Williams,PHX,24.0,203.2,117.93392,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,47,7.4,6.2,0.5,-0.3,0.138,0.293,0.206,0.547,0.049,2016-17,2016,Wing (proxy),2.9,3.8,0.5,0.481,0.201,-0.2,4.5,0.066,,,,,0
Alando Tucker,MIN,26.0,198.12,92.98636,Wisconsin,USA,2007,1,29,15,3.4,0.7,0.3,-18.9,0.065,0.043,0.243,0.529,0.077,2009-10,2009,Wing (proxy),4.6,1.0,0.4,0.509,0.216,2.1,-1.1999999999999995,0.02,,,,,0
Alec Burks,DET,31.0,198.12,97.068688,Colorado,USA,2011,1,12,51,12.8,3.1,2.2,-1.0,0.017,0.124,0.218,0.602,0.15,2022-23,2022,Wing (proxy),11.7,4.9,3.0,0.5589999999999999,0.171,2.3,1.1000000000000014,0.043,,,,,0
Alec Peters,PHX,23.0,205.74,106.59412,Valparaiso,USA,2017,2,54,20,4.1,1.9,0.6,7.3,0.032,0.12,0.151,0.523,0.073,2017-18,2017,Big (proxy),,,,,,,,,,,,,0
Alekesej Pokusevski,OKC,20.0,213.36,86.18248,,Serbia,2020,1,17,61,7.6,5.2,2.1,-2.5,0.054,0.1889999999999999,0.195,0.485,0.161,2021-22,2021,Big (proxy),,,,,,,,,,,,,0
Aleksandar Radojevic,UTA,28.0,220.98,113.398,Barton Community College,USA,1999,1,12,12,1.6,2.3,0.5,-11.8,0.086,0.183,0.1369999999999999,0.406,0.07,2004-05,2004,Big (proxy),,,,,,,,,,,,,0
Aleksej Pokusevski,OKC,21.0,213.36,95.25432,,Serbia,2020,1,17,34,8.1,4.7,1.9,-12.7,0.0579999999999999,0.16,0.179,0.522,0.13,2022-23,2022,Big (proxy),8.2,4.7,2.2,0.43,0.1969999999999999,-16.7,-0.0999999999999996,0.092,,,,,0
Alen Smailagic,GSW,20.0,208.28,97.52228,,Serbia,2019,2,39,15,1.9,1.1,0.3,-17.6,0.065,0.111,0.165,0.472,0.078,2020-21,2020,Big (proxy),4.2,1.9,0.9,0.61,0.175,-3.0,-2.3000000000000003,-0.138,,,,,0
Alex Abrines,OKC,25.0,198.12,90.7184,,Spain,2013,2,32,31,5.3,1.5,0.6,1.6,0.0069999999999999,0.067,0.12,0.507,0.047,2018-19,2018,Wing (proxy),4.7,1.5,0.4,0.5670000000000001,0.126,1.2,0.5999999999999996,-0.06,,,,,0
Alex Acker,LAC,26.0,195.58,83.91452,Pepperdine,USA,2005,2,60,25,2.9,1.0,0.5,1.8,0.044,0.092,0.203,0.4479999999999999,0.091,2008-09,2008,Wing (proxy),,,,,,,,,,,,,0
Alex Caruso,CHI,29.0,195.58,84.368112,Texas A&M,USA,Undrafted,Undrafted,Undrafted,67,5.6,2.9,2.9,6.1,0.0279999999999999,0.099,0.109,0.588,0.155,2022-23,2022,Wing (proxy),7.4,3.6,4.0,0.528,0.13,5.1,-1.8000000000000007,0.0599999999999999,,,,,0
Alex Len,SAC,30.0,218.44,113.398,Maryland,Ukraine,2013,1,5,26,1.7,2.3,0.5,6.6,0.143,0.1939999999999999,0.132,0.58,0.099,2022-23,2022,Big (proxy),6.0,4.1,1.2,0.5770000000000001,0.165,-5.5,-4.3,0.0029999999999998,,,,,0
Alex Poythress,ATL,25.0,205.74,106.59412,Kentucky,USA,Undrafted,Undrafted,Undrafted,21,5.1,3.6,0.8,-10.0,0.085,0.151,0.14,0.5710000000000001,0.085,2018-19,2018,Big (proxy),1.0,0.7,0.1,0.5,0.1119999999999999,-13.0,4.1,0.071,,,,,0
Alexander Johnson,MIA,25.0,205.74,104.32616,Florida State,USA,2006,2,45,43,4.2,2.2,0.3,-12.3,0.075,0.152,0.181,0.5539999999999999,0.045,2007-08,2007,Big (proxy),4.4,3.1,0.3,0.588,0.161,-1.9,-0.2000000000000001,-0.034,,,,,0
Alexey Shved,NYK,26.0,198.12,84.821704,,Russia,Undrafted,Undrafted,Undrafted,42,10.3,2.4,2.5,-8.5,0.031,0.111,0.258,0.541,0.26,2014-15,2014,Wing (proxy),4.0,1.3,1.1,0.452,0.213,-3.6,6.300000000000001,0.089,,,,,0
Alexis Ajinca,NOP,29.0,218.44,112.490816,,France,2008,1,20,39,5.3,4.5,0.3,-4.7,0.084,0.225,0.171,0.529,0.031,2016-17,2016,Big (proxy),6.0,4.6,0.5,0.514,0.206,-3.0,-0.7000000000000002,0.015,,,,,0
Alfonzo McKinnie,CHI,29.0,200.66,97.52228,Wisc.-Green Bay,USA,Undrafted,Undrafted,Undrafted,17,3.5,1.9,0.3,-12.9,0.059,0.115,0.148,0.457,0.034,2021-22,2021,Wing (proxy),3.1,1.4,0.2,0.604,0.1639999999999999,0.7,0.3999999999999999,-0.1469999999999999,,,,,0
Alize Johnson,NOP,26.0,203.2,96.161504,Missouri State,USA,2018,2,50,23,1.8,2.7,0.4,-10.6,0.156,0.2019999999999999,0.14,0.4629999999999999,0.08,2021-22,2021,Wing (proxy),5.2,5.0,0.8,0.638,0.175,-4.5,-3.4000000000000004,-0.1750000000000001,,,,,0
Allan Houston,NYK,34.0,198.12,92.98636,Tennessee,USA,1993,1,11,20,11.9,1.2,2.1,1.5,0.009,0.043,0.214,0.529,0.127,2004-05,2004,Wing (proxy),18.5,2.4,2.0,0.539,0.25,-0.1,-6.6,-0.01,,,,,0
Allan Ray,BOS,23.0,187.96,86.18248,Villanova,USA,Undrafted,Undrafted,Undrafted,47,6.2,1.5,0.9,-3.2,0.0279999999999999,0.096,0.2019999999999999,0.512,0.105,2006-07,2006,Guard (proxy),,,,,,,,,,,,,0
Allen Crabbe,MIN,28.0,195.58,96.161504,California,USA,2013,2,31,37,4.6,2.1,0.9,-15.0,0.0139999999999999,0.098,0.122,0.47,0.073,2019-20,2019,Wing (proxy),9.6,3.4,1.1,0.519,0.159,0.3,-5.0,-0.049,,,,,0
Allen Iverson,PHI,35.0,182.88,74.84268,Georgetown,USA,1996,1,1,28,13.8,2.8,4.0,-3.0,0.021,0.083,0.2269999999999999,0.515,0.209,2009-10,2009,Guard (proxy),17.5,3.0,5.0,0.504,0.261,-1.6,-3.6999999999999993,0.011,,,,,0
Allonzo Trier,NYK,24.0,193.04,90.7184,Arizona,USA,2018,Undrafted,Undrafted,24,6.5,1.2,1.2,-11.1,0.018,0.078,0.208,0.62,0.1639999999999999,2019-20,2019,Guard (proxy),10.9,3.1,1.9,0.564,0.207,-7.2,-4.4,0.056,,,,,0
Alonzo Gee,DEN,30.0,198.12,102.0582,Alabama,USA,Undrafted,Undrafted,Undrafted,13,0.8,1.2,0.5,1.4,0.046,0.136,0.108,0.306,0.092,2016-17,2016,Wing (proxy),4.5,3.4,1.0,0.5720000000000001,0.092,-4.0,-3.7,-0.266,,,,,0
Alonzo Mourning,MIA,38.0,208.28,118.38751200000002,Georgetown,USA,1992,1,2,25,6.0,3.7,0.3,-0.4,0.103,0.1639999999999999,0.182,0.58,0.032,2007-08,2007,Big (proxy),8.6,4.5,0.2,0.59,0.208,-0.7,-2.6,-0.01,,,,,0
Alperen Sengun,HOU,20.0,210.82,110.222856,,Turkey,2021,1,16,75,14.8,9.0,3.9,-7.8,0.107,0.204,0.211,0.599,0.1989999999999999,2022-23,2022,Big (proxy),9.6,5.5,2.6,0.552,0.214,-10.2,5.200000000000001,0.0469999999999999,,,,,0
Alton Ford,PHX,22.0,205.74,127.00576,Houston,USA,2001,2,50,11,0.6,0.5,0.1,-16.7,0.0,0.207,0.183,0.3389999999999999,0.071,2002-03,2002,Big (proxy),3.1,2.0,0.1,0.573,0.175,-8.7,-2.5,-0.234,,,,,0
Alton Lister,BOS,38.0,213.36,111.13004,Arizona State,USA,1981,1,21,53,1.6,3.2,0.2,-13.3,0.136,0.249,0.1,0.48,0.038,1996-97,1996,Big (proxy),,,,,,,,,,,,,0
Alvin Jones,PHI,23.0,210.82,120.20188,Georgia Tech,USA,2001,2,56,23,1.1,1.6,0.1,-3.8,0.13,0.235,0.144,0.451,0.036,2001-02,2001,Big (proxy),,,,,,,,,,,,,0
Alvin Williams,TOR,29.0,195.58,83.91452,Villanova,USA,1997,2,47,56,8.8,2.7,4.0,-5.8,0.012,0.089,0.171,0.4629999999999999,0.237,2003-04,2003,Wing (proxy),13.2,3.1,5.3,0.508,0.1969999999999999,-5.7,-4.399999999999999,-0.045,,,,,0
Amal McCaskill,PHI,30.0,210.82,106.59412,Marquette,USA,1996,2,49,59,1.9,2.3,0.3,-4.1,0.093,0.157,0.118,0.4379999999999999,0.055,2003-04,2003,Big (proxy),1.0,2.0,0.5,0.293,0.135,-9.2,0.8999999999999999,0.1449999999999999,,,,,0
Amar'e Stoudemire,MIA,33.0,208.28,111.13004,,USA,2002,1,9,52,5.8,4.3,0.5,1.8,0.1009999999999999,0.2289999999999999,0.18,0.599,0.054,2015-16,2015,Big (proxy),11.5,5.6,0.8,0.595,0.238,-4.9,-5.7,0.004,,,,,0
Amile Jefferson,ORL,27.0,205.74,100.697424,Duke,USA,2017,Undrafted,Undrafted,18,0.8,1.3,0.2,8.5,0.1119999999999999,0.163,0.129,0.372,0.078,2019-20,2019,Big (proxy),2.3,1.8,0.3,0.6920000000000001,0.125,8.8,-1.4999999999999998,-0.32,,,,,0
Amir Coffey,LAC,26.0,200.66,95.25432,Minnesota,USA,Undrafted,Undrafted,Undrafted,50,3.4,1.1,1.1,-8.9,0.026,0.055,0.128,0.498,0.119,2022-23,2022,Wing (proxy),9.0,2.9,1.8,0.598,0.154,-0.9,-5.6,-0.0999999999999999,,,,,0
Amir Johnson,PHI,32.0,205.74,108.86208,,USA,2005,2,56,51,3.9,2.9,1.2,-5.0,0.084,0.185,0.1689999999999999,0.574,0.156,2018-19,2018,Big (proxy),4.6,4.5,1.6,0.575,0.125,1.5,-0.6999999999999997,-0.001,,,,,0
Anderson Varejao,GSW,34.0,210.82,123.830616,,Brazil,2004,2,30,14,1.3,1.9,0.7,-8.4,0.133,0.188,0.124,0.478,0.152,2016-17,2016,Big (proxy),2.6,2.7,0.7,0.473,0.147,-0.5,-1.3,0.005,,,,,0
Andrae Patterson,MIN,23.0,205.74,107.954896,Indiana,USA,1998,2,46,35,3.3,1.9,0.4,-1.6,0.104,0.144,0.206,0.505,0.094,1998-99,1998,Big (proxy),,,,,,,,,,,,,0
Andray Blatche,BKN,27.0,210.82,117.93392,,USA,2005,2,49,73,11.2,5.3,1.5,0.4,0.089,0.1989999999999999,0.252,0.532,0.126,2013-14,2013,Big (proxy),10.3,5.1,1.0,0.547,0.263,-1.3,0.8999999999999986,-0.015,,,,,0
Andre Barrett,TOR,24.0,177.8,78.471416,Seton Hall,USA,Undrafted,Undrafted,Undrafted,19,4.6,1.3,2.7,-4.7,0.032,0.071,0.188,0.3979999999999999,0.28,2005-06,2005,Guard (proxy),3.1,1.1,1.8,0.446,0.15,2.1,1.4999999999999996,-0.0480000000000001,,,,,0
Andre Brown,MEM,27.0,205.74,111.13004,DePaul,USA,Undrafted,Undrafted,Undrafted,33,3.0,2.8,0.2,-12.2,0.128,0.218,0.172,0.502,0.045,2007-08,2007,Big (proxy),2.4,1.9,0.1,0.5770000000000001,0.183,-2.5,0.6000000000000001,-0.075,,,,,0
Andre Drummond,CHI,29.0,210.82,126.552168,Connecticut,USA,2012,1,9,67,6.0,6.6,0.5,2.6,0.16,0.353,0.196,0.606,0.057,2022-23,2022,Big (proxy),7.9,9.3,1.8,0.574,0.181,2.4,-1.9000000000000004,0.032,,,,,0
Andre Iguodala,GSW,38.0,198.12,97.52228,Arizona,USA,2004,1,9,31,4.0,3.2,3.7,8.7,0.035,0.1169999999999999,0.113,0.478,0.263,2021-22,2021,Wing (proxy),4.4,3.5,2.3,0.519,0.109,-2.5,-0.4000000000000003,-0.041,,,,,0
Andre Miller,SAS,40.0,190.5,90.7184,Utah,USA,1999,1,8,39,3.7,1.3,2.2,5.1,0.036,0.1009999999999999,0.162,0.6,0.276,2015-16,2015,Guard (proxy),4.4,1.9,3.5,0.5479999999999999,0.155,-4.4,-0.7000000000000002,0.052,,,,,0
Andre Owens,IND,27.0,193.04,90.7184,Houston,USA,Undrafted,Undrafted,Undrafted,31,4.0,1.5,1.5,-0.4,0.038,0.093,0.163,0.504,0.18,2007-08,2007,Guard (proxy),3.0,0.9,0.3,0.421,0.203,-10.0,1.0,0.083,,,,,0
Andre Roberson,OKC,26.0,200.66,95.25432,Colorado,USA,2013,1,26,39,5.0,4.7,1.2,9.4,0.068,0.109,0.085,0.5429999999999999,0.059,2017-18,2017,Wing (proxy),6.6,5.1,1.0,0.51,0.1,2.8,-1.5999999999999996,0.0329999999999999,,,,,0
Andrea Bargnani,BKN,30.0,213.36,111.13004,,Italy,2006,1,1,46,6.6,2.1,0.4,-15.7,0.047,0.135,0.2339999999999999,0.5,0.051,2015-16,2015,Big (proxy),14.8,4.4,1.6,0.527,0.262,-17.5,-8.200000000000001,-0.027,,,,,0
Andreas Glyniadakis,SEA,25.0,215.9,127.00576,,USA,2003,2,58,13,1.3,0.6,0.1,-20.4,0.031,0.09,0.154,0.475,0.02,2006-07,2006,Big (proxy),,,,,,,,,,,,,0
Andrei Kirilenko,BKN,33.0,205.74,106.59412,,Russia,1999,1,24,45,5.0,3.2,1.6,-3.1,0.077,0.128,0.144,0.532,0.131,2013-14,2013,Big (proxy),12.4,5.7,2.8,0.59,0.173,-1.4,-7.4,-0.0579999999999999,,,,,0
Andres Nocioni,PHI,32.0,200.66,102.0582,,Argentina,Undrafted,Undrafted,Undrafted,11,1.5,1.3,0.1,-14.4,0.019,0.255,0.25,0.342,0.033,2011-12,2011,Wing (proxy),6.1,3.1,0.8,0.5379999999999999,0.174,-6.9,-4.6,-0.1959999999999999,,,,,0
Andrew Bogut,GSW,34.0,213.36,117.93392,Utah,Australia,2005,1,1,11,3.5,5.0,1.0,3.9,0.1,0.297,0.148,0.523,0.104,2018-19,2018,Big (proxy),1.5,3.3,0.6,0.696,0.085,-5.1,2.0,-0.1729999999999999,,,,,0
Andrew Bynum,IND,26.0,213.36,129.27372,,USA,2005,1,10,26,8.7,5.6,1.1,-11.8,0.108,0.198,0.24,0.456,0.099,2013-14,2013,Big (proxy),18.7,11.8,1.4,0.594,0.237,2.3,-10.0,-0.1379999999999999,,,,,0
Andrew DeClercq,ORL,31.0,208.28,115.66596,Florida,USA,1995,2,34,71,3.2,4.5,0.6,-3.7,0.122,0.176,0.103,0.526,0.054,2003-04,2003,Big (proxy),4.7,4.4,0.7,0.562,0.1369999999999999,4.5,-1.5,-0.036,,,,,0
Andrew Gaze,SAS,33.0,200.66,92.98636,Seton Hall,USA,Undrafted,Undrafted,Undrafted,19,1.1,0.3,0.3,27.4,0.038,0.048,0.206,0.42,0.182,1998-99,1998,Wing (proxy),,,,,,,,,,,,,0
Andrew Goudelock,LAL,23.0,190.5,90.7184,College of Charleston,USA,2011,2,46,40,4.4,0.8,0.5,-4.2,0.0139999999999999,0.068,0.228,0.488,0.085,2011-12,2011,Guard (proxy),,,,,,,,,,,,,0
Andrew Harrison,NOP,24.0,198.12,96.615096,Kentucky,USA,2015,2,44,17,3.2,1.2,1.4,-5.5,0.032,0.074,0.171,0.4429999999999999,0.1939999999999999,2018-19,2018,Wing (proxy),9.5,2.3,3.2,0.534,0.195,-7.3,-6.3,-0.0910000000000001,,,,,0
Andrew Lang,NYK,34.0,210.82,124.7378,Arkansas,USA,1988,2,28,19,3.1,3.2,0.2,0.7,0.076,0.198,0.14,0.44,0.021,1999-00,1999,Big (proxy),3.8,4.4,0.6,0.367,0.155,-7.1,-0.6999999999999997,0.073,,,,,0
Andrew Nembhard,IND,23.0,190.5,86.636072,Gonzaga,Canada,2022,2,31,75,9.5,2.7,4.5,-5.9,0.016,0.078,0.159,0.528,0.222,2022-23,2022,Guard (proxy),,,,,,,,,,,,,0
Andrew Nicholson,BKN,27.0,205.74,113.398,St. Bonaventure,Canada,2012,1,19,38,2.6,1.6,0.3,-17.6,0.05,0.156,0.178,0.427,0.047,2016-17,2016,Big (proxy),6.9,3.6,0.4,0.5670000000000001,0.209,1.2,-4.300000000000001,-0.14,,,,,0
Andrew White III,ATL,25.0,200.66,95.25432,Syracuse,USA,Undrafted,Undrafted,Undrafted,15,4.6,2.3,0.4,-18.6,0.016,0.133,0.16,0.461,0.05,2017-18,2017,Wing (proxy),,,,,,,,,,,,,0
Andrew Wiggins,GSW,28.0,200.66,89.357624,Kansas,Canada,2014,1,1,37,17.1,5.0,2.3,5.2,0.05,0.1009999999999999,0.212,0.564,0.1,2022-23,2022,Wing (proxy),17.2,4.5,2.2,0.56,0.2239999999999999,5.8,-0.0999999999999978,0.0039999999999998,,,,,0
Andris Biedrins,GSW,27.0,213.36,109.769264,,Latvia,2004,1,11,53,0.5,2.9,0.3,-4.9,0.075,0.246,0.037,0.449,0.039,2012-13,2012,Big (proxy),1.7,3.7,0.3,0.581,0.053,-6.6,-1.2,-0.1319999999999999,,,,,0
Anfernee Hardaway,MIA,36.0,200.66,97.52228,Memphis,USA,1993,1,3,16,3.8,2.2,2.2,-4.8,0.011,0.1119999999999999,0.1119999999999999,0.469,0.173,2007-08,2007,Wing (proxy),7.3,2.4,2.0,0.48,0.1689999999999999,-6.6,-3.5,-0.011,,,,,0
