player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,season_start,pos_proxy,pts_lag1,reb_lag1,ast_lag1,ts_pct_lag1,usg_pct_lag1,net_rating_lag1,d_pts,d_ts,next_pts,next_reb,next_ast,next_ts_pct,improved_next_pts
Sergio Rodriguez,PHI,31.0,190.5,79.83219199999998,,Spain,2006,1,27,68,7.8,2.3,5.1,-5.3,0.015,0.1009999999999999,0.1939999999999999,0.484,0.349,2016-17,2016,Guard (proxy),6.6,1.3,3.2,0.5539999999999999,0.214,-1.6,1.2000000000000002,-0.0699999999999999,,,,,0
Seth Curry,BKN,32.0,185.42,83.91452,Duke,USA,Undrafted,Undrafted,Undrafted,61,9.2,1.6,1.6,-3.5,0.011,0.071,0.188,0.593,0.121,2022-23,2022,Guard (proxy),15.0,3.1,3.6,0.615,0.182,4.5,-5.800000000000001,-0.022,,,,,0
Shabazz Muhammad,MIL,25.0,198.12,100.243832,California-Los Angeles,USA,2013,1,14,43,5.0,1.8,0.3,-12.7,0.057,0.136,0.225,0.51,0.055,2017-18,2017,Wing (proxy),9.9,2.8,0.4,0.5660000000000001,0.214,-1.5,-4.9,-0.056,,,,,0
Shabazz Napier,WAS,28.0,182.88,79.3786,Connecticut,USA,2014,1,24,56,10.3,2.8,4.7,-3.6,0.018,0.1,0.1969999999999999,0.552,0.295,2019-20,2019,Guard (proxy),9.4,1.8,2.6,0.534,0.2339999999999999,1.3,0.9000000000000004,0.018,,,,,0
Shaedon Sharpe,POR,20.0,195.58,90.7184,Kentucky,Canada,2022,1,7,80,9.9,3.0,1.2,-7.6,0.037,0.102,0.186,0.568,0.079,2022-23,2022,Wing (proxy),,,,,,,,,,,,,0
Shai Gilgeous-Alexander,OKC,24.0,198.12,88.45044,Kentucky,Canada,2018,1,11,68,31.4,4.8,5.5,2.7,0.023,0.109,0.318,0.626,0.249,2022-23,2022,Wing (proxy),24.5,5.0,5.9,0.557,0.298,-6.4,6.899999999999999,0.0689999999999999,,,,,0
Shake Milton,PHI,26.0,195.58,92.98636,Southern Methodist,USA,2018,2,54,76,8.4,2.5,3.2,3.9,0.026,0.096,0.175,0.575,0.213,2022-23,2022,Wing (proxy),8.2,2.6,2.5,0.517,0.174,-1.0,0.200000000000001,0.0579999999999999,,,,,0
Shammond Williams,LAL,32.0,185.42,91.171992,North Carolina,USA,1998,2,34,30,3.1,1.3,1.0,-4.8,0.036,0.102,0.1369999999999999,0.53,0.15,2006-07,2006,Guard (proxy),4.8,1.1,2.2,0.495,0.185,-8.1,-1.6999999999999995,0.035,,,,,0
Shandon Anderson,MIA,32.0,198.12,97.52228,Georgia,USA,1996,2,54,48,2.6,1.7,0.6,2.2,0.036,0.1159999999999999,0.119,0.47,0.072,2005-06,2005,Wing (proxy),3.9,2.9,1.1,0.518,0.12,11.0,-1.2999999999999998,-0.048,,,,,0
Shane Battier,MIA,35.0,203.2,99.79024,Duke,USA,2001,1,6,73,4.1,1.9,0.9,8.5,0.03,0.087,0.099,0.523,0.057,2013-14,2013,Wing (proxy),6.6,2.3,1.0,0.623,0.111,11.9,-2.5,-0.0999999999999999,,,,,0
