Model,Target,Train_RMSE,Test_RMSE,Test_MAE,Train_R2,Test_R2,CV_RMSE_Mean,CV_RMSE_SD,CV_R2_Mean,CV_R2_SD,Overfit_Gap_RMSE,Overfit_Gap_R2
Gradient Boosting,next_pts,2.652329955047627,2.851715663972328,2.222610641834752,0.8094856895843684,0.7796833393525685,2.825362400624101,0.023390795887540484,0.7835621738395994,0.006848143483467098,0.19938570892470064,0.02980235023179989
LASSO Regression,next_pts,2.8495445610601093,2.883548229089688,2.263683847834593,0.7801009219996105,0.7747372729816777,2.8638653014090325,0.01662674762431484,0.777672676522904,0.004848045757189537,0.03400366802957855,0.005363649017932737
Ridge Regression,next_pts,2.8177992382248096,2.8953331259930346,2.2773820423387408,0.7849731971928271,0.772892238598819,2.878210050992241,0.014229029983400473,0.7754359781887381,0.004989626345480142,0.07753388776822501,0.012080958594008151
Linear Regression,next_pts,2.7544556404487133,2.9689281446829114,2.3300538606314203,0.794532059430187,0.7612000280007479,2.952129885708022,0.016258015744505243,0.7637445323428237,0.005711135465555446,0.21447250423419817,0.03333203142943908
Random Forest,next_pts,2.77894775289027,3.206117323168516,2.559838961246717,0.7908618480337173,0.7215201865026548,3.1795724936159226,0.010113921785945596,0.7259660712764726,0.005033876588016914,0.42716957027824565,0.06934166153106247
