Feature,Coefficient,Abs_Coefficient
cat__draft_year_1997,-0.0,0.0
cat__draft_year_1991,-0.0,0.0
cat__draft_number_46,0.0,0.0
cat__draft_number_58,-0.0,0.0
cat__draft_number_57,0.0,0.0
cat__draft_number_56,-0.0,0.0
cat__draft_number_55,0.0,0.0
cat__draft_number_54,0.0,0.0
cat__draft_number_53,-0.0,0.0
cat__draft_number_52,0.0,0.0
cat__draft_number_51,0.0,0.0
cat__draft_number_50,-0.0,0.0
cat__draft_number_5,0.0,0.0
cat__draft_number_49,-0.0,0.0
cat__draft_number_48,-0.0,0.0
cat__draft_number_47,-0.0,0.0
cat__draft_number_45,0.0,0.0
cat__draft_number_31,0.0,0.0
cat__draft_number_44,-0.0,0.0
cat__draft_number_43,0.0,0.0
cat__draft_number_42,0.0,0.0
cat__draft_number_41,0.0,0.0
cat__draft_number_40,0.0,0.0
cat__draft_number_4,0.0,0.0
cat__draft_number_39,-0.0,0.0
cat__draft_number_38,-0.0,0.0
cat__draft_number_37,-0.0,0.0
cat__draft_number_36,-0.0,0.0
cat__draft_number_35,0.0,0.0
cat__draft_number_34,-0.0,0.0
cat__draft_number_33,0.0,0.0
cat__draft_number_6,-0.0,0.0
cat__draft_number_60,-0.0,0.0
cat__draft_number_7,0.0,0.0
cat__draft_number_75,0.0,0.0
cat__pos_proxy_Guard (proxy),-0.0,0.0
cat__pos_proxy_Big (proxy),-0.0,0.0
cat__season_2021-22,0.0,0.0
cat__season_2020-21,-0.0,0.0
cat__season_2019-20,0.0,0.0
cat__season_2017-18,0.0,0.0
cat__season_2016-17,0.0,0.0
cat__season_2015-16,0.0,0.0
cat__season_2014-15,-0.0,0.0
cat__season_2013-14,-0.0,0.0
cat__season_2012-13,0.0,0.0
cat__season_2011-12,-0.0,0.0
cat__season_2010-11,-0.0,0.0
cat__season_2009-10,-0.0,0.0
cat__season_2007-08,-0.0,0.0
cat__season_2006-07,-0.0,0.0
cat__season_2005-06,-0.0,0.0
cat__season_2004-05,-0.0,0.0
cat__season_2002-03,0.0,0.0
cat__season_2001-02,-0.0,0.0
cat__season_2000-01,0.0,0.0
cat__season_1999-00,0.0,0.0
cat__season_1996-97,-0.0,0.0
cat__draft_number_Undrafted,-0.0,0.0
cat__draft_number_9,0.0,0.0
cat__draft_number_8,-0.0,0.0
cat__draft_number_79,-0.0,0.0
cat__draft_number_32,-0.0,0.0
cat__draft_number_30,0.0,0.0
cat__draft_year_1992,-0.0,0.0
cat__draft_year_2007,-0.0,0.0
cat__draft_year_2020,0.0,0.0
cat__draft_year_2019,-0.0,0.0
cat__draft_year_2018,0.0,0.0
cat__draft_year_2017,0.0,0.0
cat__draft_year_2016,0.0,0.0
cat__draft_year_2015,0.0,0.0
cat__draft_year_2014,0.0,0.0
cat__draft_year_2013,-0.0,0.0
cat__draft_year_2012,0.0,0.0
cat__draft_year_2011,0.0,0.0
cat__draft_year_2010,0.0,0.0
cat__draft_year_2009,-0.0,0.0
cat__draft_year_2008,-0.0,0.0
cat__draft_year_2006,-0.0,0.0
cat__draft_number_29,-0.0,0.0
cat__draft_year_2005,-0.0,0.0
cat__draft_year_2004,-0.0,0.0
cat__draft_year_2003,0.0,0.0
cat__draft_year_2002,0.0,0.0
cat__draft_year_2001,-0.0,0.0
cat__draft_year_2000,-0.0,0.0
cat__draft_year_1999,-0.0,0.0
cat__draft_year_1998,0.0,0.0
cat__college_Tulsa,-0.0,0.0
cat__draft_year_1996,0.0,0.0
cat__draft_year_1995,-0.0,0.0
cat__draft_year_1994,0.0,0.0
cat__draft_year_1993,-0.0,0.0
cat__draft_year_2021,-0.0,0.0
cat__draft_year_Undrafted,-0.0,0.0
cat__draft_round_0,0.0,0.0
cat__draft_round_2,-0.0,0.0
cat__draft_number_28,-0.0,0.0
cat__draft_number_27,0.0,0.0
cat__draft_number_26,0.0,0.0
cat__draft_number_25,-0.0,0.0
cat__draft_number_24,0.0,0.0
cat__draft_number_23,-0.0,0.0
cat__draft_number_22,-0.0,0.0
cat__draft_number_21,-0.0,0.0
cat__draft_number_20,-0.0,0.0
cat__draft_number_2,-0.0,0.0
cat__draft_number_19,-0.0,0.0
cat__draft_number_18,0.0,0.0
cat__draft_number_17,-0.0,0.0
cat__draft_number_165,0.0,0.0
cat__draft_number_160,0.0,0.0
cat__draft_number_16,0.0,0.0
cat__draft_number_15,0.0,0.0
cat__draft_number_14,-0.0,0.0
cat__draft_number_13,-0.0,0.0
cat__draft_number_12,-0.0,0.0
cat__draft_number_11,0.0,0.0
cat__draft_number_10,0.0,0.0
cat__draft_number_1,0.0,0.0
cat__draft_round_8,0.0,0.0
cat__draft_round_7,0.0,0.0
cat__draft_round_4,0.0,0.0
cat__draft_round_3,0.0,0.0
cat__college_UCLA,0.0,0.0
cat__college_Towson,0.0,0.0
cat__college_Tulane,-0.0,0.0
cat__college_California,-0.0,0.0
cat__college_Eastern Michigan,0.0,0.0
cat__college_East Carolina,-0.0,0.0
cat__college_Duquesne,0.0,0.0
cat__college_Duke,0.0,0.0
cat__college_Drexel,-0.0,0.0
cat__college_Detroit Mercy,-0.0,0.0
