Model,Test_RMSE,Test_MAE,Test_R2,CV_RMSE_Mean,CV_RMSE_SD,CV_R2_Mean,CV_R2_SD
LASSO Regression,2.88354822908969,2.263683847834595,0.7747372729816773,2.8638653014089814,0.016626747624336555,0.7776726765229119,0.004848045757182023
Ridge Regression,2.895389391145192,2.2774587123258505,0.7728834117202833,2.878311283130846,0.014228269284287966,0.7754201960097441,0.004989318104616052
Linear Regression,2.9689650852771905,2.330093281341733,0.761194085473796,2.95215643030994,0.01627063645934297,0.7637403224214441,0.005710062254575826
